Subject;Group1_Map1_FOnset;Group1_Map1_LOffset;Group1_Map1_NumTF;Group1_Map1_TfCentroid;Group1_Map1_MeanCorr;Group1_Map1_Gev;Group1_Map1_BCorr;Group1_Map1_TfBCorr;Group1_Map1_GfpTfBCorr;Group1_Map1_MaxGfp;Group1_Map1_TfMaxGfp;Group1_Map1_MeanGfp;Group1_Map1_MeanDur;Group1_Map1_TimeCov;Group1_Map1_SegDensity;Group1_Map2_FOnset;Group1_Map2_LOffset;Group1_Map2_NumTF;Group1_Map2_TfCentroid;Group1_Map2_MeanCorr;Group1_Map2_Gev;Group1_Map2_BCorr;Group1_Map2_TfBCorr;Group1_Map2_GfpTfBCorr;Group1_Map2_MaxGfp;Group1_Map2_TfMaxGfp;Group1_Map2_MeanGfp;Group1_Map2_MeanDur;Group1_Map2_TimeCov;Group1_Map2_SegDensity;Group1_Map3_FOnset;Group1_Map3_LOffset;Group1_Map3_NumTF;Group1_Map3_TfCentroid;Group1_Map3_MeanCorr;Group1_Map3_Gev;Group1_Map3_BCorr;Group1_Map3_TfBCorr;Group1_Map3_GfpTfBCorr;Group1_Map3_MaxGfp;Group1_Map3_TfMaxGfp;Group1_Map3_MeanGfp;Group1_Map3_MeanDur;Group1_Map3_TimeCov;Group1_Map3_SegDensity;Group1_Map4_FOnset;Group1_Map4_LOffset;Group1_Map4_NumTF;Group1_Map4_TfCentroid;Group1_Map4_MeanCorr;Group1_Map4_Gev;Group1_Map4_BCorr;Group1_Map4_TfBCorr;Group1_Map4_GfpTfBCorr;Group1_Map4_MaxGfp;Group1_Map4_TfMaxGfp;Group1_Map4_MeanGfp;Group1_Map4_MeanDur;Group1_Map4_TimeCov;Group1_Map4_SegDensity;Group1_Map5_FOnset;Group1_Map5_LOffset;Group1_Map5_NumTF;Group1_Map5_TfCentroid;Group1_Map5_MeanCorr;Group1_Map5_Gev;Group1_Map5_BCorr;Group1_Map5_TfBCorr;Group1_Map5_GfpTfBCorr;Group1_Map5_MaxGfp;Group1_Map5_TfMaxGfp;Group1_Map5_MeanGfp;Group1_Map5_MeanDur;Group1_Map5_TimeCov;Group1_Map5_SegDensity
Subject11;79;105;27;92.276215;0.951795;0.114307;0.962036;95;1.051153;1.118615;105;1.033216;27.000000;0.329268;0.012195;73;154;18;124.630144;0.940351;0.058081;0.962109;74;0.884581;1.006868;143;0.914217;8.485281;0.219512;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;106;142;37;123.530762;0.949978;0.190443;0.966218;110;1.193695;1.212986;114;1.141323;37.000000;0.451220;0.012195
Subject12;79;96;11;86.961728;-0.334554;0.009054;0.346306;96;0.952403;1.092388;84;1.016478;5.477226;0.134146;0.024390;73;154;41;121.059800;0.077810;0.041435;0.811382;127;0.930705;1.293565;88;1.102556;10.555264;0.500000;0.036585;97;103;7;100.134051;0.749837;0.015488;0.861336;102;1.150300;1.160031;103;1.079011;7.000000;0.085366;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;104;126;23;114.510221;0.900496;0.084731;0.941321;115;1.253545;1.340627;108;1.192023;23.000000;0.280488;0.012195
Subject13;112;137;19;122.831463;0.437289;0.011163;0.555334;112;1.080102;1.080102;112;0.966591;8.831761;0.231707;0.024390;73;154;20;112.475375;0.036895;0.018792;0.429909;148;1.238457;1.700955;73;1.302335;9.949874;0.243902;0.024390;103;111;9;107.030919;0.665090;0.014784;0.757787;103;1.071187;1.099187;110;1.073004;9.000000;0.109756;0.012195;82;102;21;92.100229;0.544300;0.041343;0.845782;97;1.157876;1.184739;90;1.121005;21.000000;0.256098;0.012195;125;143;13;133.613984;0.391572;0.007106;0.465763;130;1.097646;1.101724;129;1.043122;6.480741;0.158537;0.024390
Subject14;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;71;118.852895;0.671458;0.159673;0.922895;91;0.771515;1.333277;105;1.050468;31.432467;0.865854;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;92;102;11;97.407540;0.914515;0.041297;0.930693;94;0.964246;1.288624;102;1.088556;11.000000;0.134146;0.012195
Subject15;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;44;128.440287;0.624472;0.103223;0.895215;75;0.686064;1.380972;119;0.955067;13.964240;0.536585;0.024390;78;115;14;97.191946;0.902715;0.081654;0.938043;85;1.245519;1.535048;113;1.255584;6.928203;0.170732;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;86;109;24;97.630491;0.953920;0.134287;0.968884;89;1.219562;1.333448;102;1.182747;24.000000;0.292683;0.012195
Subject16;73;83;11;78.256865;0.861920;0.015872;0.886706;76;0.998614;1.275980;83;1.068876;11.000000;0.134146;0.012195;150;154;5;151.913872;0.932244;0.008556;0.935896;152;1.068597;1.173312;150;1.075093;5.000000;0.060976;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;84;112;29;98.708204;0.947699;0.138215;0.974534;111;1.972309;1.972309;111;1.751923;29.000000;0.353659;0.012195;113;149;37;129.961318;0.956420;0.154580;0.972613;114;1.924650;1.952559;113;1.626912;37.000000;0.451220;0.012195
Subject17;73;129;57;103.067414;0.950041;0.203338;0.975610;119;1.086129;1.135728;125;0.975585;57.000000;0.695122;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;130;154;25;140.961169;0.940668;0.076365;0.966549;130;1.090167;1.090167;130;0.910408;25.000000;0.304878;0.012195
Subject18;80;91;12;85.447401;0.887008;0.016795;0.921702;91;1.485063;1.560182;80;1.465037;12.000000;0.146341;0.012195;142;154;13;147.801282;0.951417;0.040009;0.960118;154;1.942967;2.318528;142;2.020847;13.000000;0.158537;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;79;7;76.089580;0.834569;0.010838;0.838954;78;1.714231;1.739924;77;1.633907;7.000000;0.085366;0.012195;92;141;50;118.325924;0.942464;0.229183;0.956777;97;1.896348;2.889998;132;2.463302;50.000000;0.609756;0.012195
Subject19;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;95;23;82.566400;-0.053843;0.003076;0.544948;95;1.168515;2.618643;79;1.815433;23.000000;0.280488;0.012195;96;103;8;99.810837;0.869455;0.013489;0.949932;103;1.919263;1.919263;103;1.603061;8.000000;0.097561;0.012195;104;154;51;128.251459;0.930706;0.214338;0.957436;106;2.200276;2.899041;133;2.441169;51.000000;0.621951;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject20;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;46;106.837880;0.619444;0.086113;0.874021;152;1.577983;1.938923;120;1.402476;13.377492;0.560976;0.036585;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;92;148;36;126.022676;0.900703;0.187101;0.951216;142;2.028172;2.316425;131;2.004778;14.966630;0.439024;0.024390
Subject21;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;85;13;79.256227;0.371600;0.000933;0.642990;73;0.876870;1.152874;78;1.059682;13.000000;0.158537;0.012195;86;140;12;117.886740;0.763515;0.028181;0.963225;137;3.775441;3.775441;137;2.159863;5.656854;0.146341;0.024390;94;136;43;116.858473;0.945764;0.237453;0.974367;129;3.966462;4.180477;117;3.538899;43.000000;0.524390;0.012195;141;154;14;147.133367;0.951563;0.064775;0.958647;145;3.573019;3.638681;141;3.279745;14.000000;0.170732;0.012195
Subject22;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;89;17;80.875996;-0.333648;0.002972;0.150626;89;0.856975;1.669867;80;1.246241;17.000000;0.207317;0.012195;90;154;65;125.318146;0.930780;0.295944;0.969054;104;2.761036;3.531663;139;2.925326;65.000000;0.792683;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject23;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;88;16;80.767571;-0.522264;0.019596;-0.358649;73;1.360881;3.928315;81;2.783639;16.000000;0.195122;0.012195;89;99;11;95.040085;0.703780;0.017940;0.961717;99;2.880609;2.880609;99;1.881621;11.000000;0.134146;0.012195;100;148;49;123.970753;0.962995;0.269548;0.977052;126;4.090885;4.102678;125;3.367656;49.000000;0.597561;0.012195;149;154;6;151.428816;0.929982;0.013582;0.934564;150;2.334056;2.426132;149;2.253830;6.000000;0.073171;0.012195
Subject24;146;150;5;147.879177;0.913394;0.018760;0.929726;146;1.486064;1.486064;146;1.323129;5.000000;0.060976;0.012195;78;85;8;81.710017;0.086746;0.000458;0.471423;78;0.643001;0.898828;83;0.810832;8.000000;0.097561;0.012195;73;109;29;95.627501;0.828828;0.137915;0.979370;99;1.796337;1.818698;96;1.441583;10.954451;0.353659;0.024390;110;145;36;129.111926;0.947775;0.176142;0.976157;132;1.688800;1.911698;136;1.423872;36.000000;0.439024;0.012195;151;154;4;152.532631;0.937077;0.011732;0.945248;153;1.146462;1.207017;154;1.146013;4.000000;0.048780;0.012195
Subject25;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;80;8;76.188811;0.622032;0.003427;0.689377;74;1.327247;1.474823;73;1.164538;8.000000;0.097561;0.012195;81;88;8;84.836295;0.530873;0.002961;0.663739;88;1.553373;1.553373;88;1.246845;8.000000;0.097561;0.012195;89;154;66;120.964986;0.903191;0.294512;0.958239;142;2.562910;3.195922;112;2.645273;66.000000;0.804878;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject26;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;119;47;100.061650;0.904929;0.120189;0.953656;119;3.400863;3.449721;112;2.542243;47.000000;0.573171;0.012195;120;138;19;129.258938;0.968700;0.086767;0.974577;130;3.415472;3.732340;138;3.424253;19.000000;0.231707;0.012195;139;154;16;145.955629;0.968721;0.066977;0.971571;150;2.944169;3.700502;139;3.258879;16.000000;0.195122;0.012195
Subject27;122;131;10;126.380234;0.572066;0.006112;0.667759;122;0.845474;0.853314;125;0.820784;10.000000;0.121951;0.012195;73;154;35;114.951613;0.397374;0.018481;0.544469;84;1.104601;1.518143;75;1.042541;16.613248;0.426829;0.024390;85;95;11;90.390486;0.835840;0.043923;0.912766;94;1.643983;1.686592;95;1.422371;11.000000;0.134146;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;96;121;26;106.910325;0.832310;0.116782;0.902226;96;1.719237;1.839600;102;1.487518;26.000000;0.317073;0.012195
Subject28;79;154;18;137.828172;0.797197;0.064597;0.968572;149;2.132826;2.276279;154;1.866520;8.062258;0.219512;0.024390;73;78;6;75.538624;0.251429;0.000305;0.405898;73;0.802181;0.859187;78;0.826589;6.000000;0.073171;0.012195;89;93;5;91.098837;0.879333;0.015822;0.922599;93;2.074009;2.074009;93;1.917260;5.000000;0.060976;0.012195;84;141;53;115.457754;0.925967;0.374883;0.979390;110;3.417606;3.488705;112;2.618846;15.491933;0.646341;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject29;81;89;9;85.342535;-0.285137;0.000479;0.012296;89;1.108339;1.108339;89;0.978865;9.000000;0.109756;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;118;13;102.982371;0.669536;0.041905;0.938983;114;3.911786;3.911786;114;2.204562;6.324555;0.158537;0.024390;90;140;46;117.933897;0.882076;0.298518;0.939512;113;3.937832;4.251859;137;3.522683;22.978251;0.560976;0.024390;141;154;14;146.681886;0.891740;0.068275;0.925475;141;4.078276;4.078276;141;3.154460;14.000000;0.170732;0.012195
Subject30;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;91;19;81.765602;-0.413626;0.004132;-0.157665;91;1.008291;1.497939;80;1.299095;19.000000;0.231707;0.012195;92;154;63;127.861576;0.849669;0.269587;0.970349;147;3.515783;3.666598;135;2.703613;63.000000;0.768293;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject31;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;79;90;12;84.526270;-0.114049;0.000651;-0.057373;79;1.363279;1.710021;84;1.576621;12.000000;0.146341;0.012195;73;138;40;109.901058;0.588002;0.088871;0.910646;138;2.307791;2.355152;115;1.646598;11.052094;0.487805;0.036585;116;154;30;133.781409;0.912491;0.165630;0.954596;143;2.326287;2.521062;120;2.166453;14.966630;0.365854;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject32;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;150;34;124.036806;0.431930;0.087659;0.956264;150;4.329470;4.612197;143;2.664331;10.537282;0.414634;0.036585;88;154;48;120.530608;0.819862;0.226448;0.957495;151;4.313093;4.878254;113;4.015261;9.697615;0.585366;0.036585;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
