Subject;Group1_Map1_FOnset;Group1_Map1_LOffset;Group1_Map1_NumTF;Group1_Map1_TfCentroid;Group1_Map1_MeanCorr;Group1_Map1_Gev;Group1_Map1_BCorr;Group1_Map1_TfBCorr;Group1_Map1_GfpTfBCorr;Group1_Map1_MaxGfp;Group1_Map1_TfMaxGfp;Group1_Map1_MeanGfp;Group1_Map1_MeanDur;Group1_Map1_TimeCov;Group1_Map1_SegDensity;Group1_Map2_FOnset;Group1_Map2_LOffset;Group1_Map2_NumTF;Group1_Map2_TfCentroid;Group1_Map2_MeanCorr;Group1_Map2_Gev;Group1_Map2_BCorr;Group1_Map2_TfBCorr;Group1_Map2_GfpTfBCorr;Group1_Map2_MaxGfp;Group1_Map2_TfMaxGfp;Group1_Map2_MeanGfp;Group1_Map2_MeanDur;Group1_Map2_TimeCov;Group1_Map2_SegDensity;Group1_Map3_FOnset;Group1_Map3_LOffset;Group1_Map3_NumTF;Group1_Map3_TfCentroid;Group1_Map3_MeanCorr;Group1_Map3_Gev;Group1_Map3_BCorr;Group1_Map3_TfBCorr;Group1_Map3_GfpTfBCorr;Group1_Map3_MaxGfp;Group1_Map3_TfMaxGfp;Group1_Map3_MeanGfp;Group1_Map3_MeanDur;Group1_Map3_TimeCov;Group1_Map3_SegDensity;Group1_Map4_FOnset;Group1_Map4_LOffset;Group1_Map4_NumTF;Group1_Map4_TfCentroid;Group1_Map4_MeanCorr;Group1_Map4_Gev;Group1_Map4_BCorr;Group1_Map4_TfBCorr;Group1_Map4_GfpTfBCorr;Group1_Map4_MaxGfp;Group1_Map4_TfMaxGfp;Group1_Map4_MeanGfp;Group1_Map4_MeanDur;Group1_Map4_TimeCov;Group1_Map4_SegDensity;Group1_Map5_FOnset;Group1_Map5_LOffset;Group1_Map5_NumTF;Group1_Map5_TfCentroid;Group1_Map5_MeanCorr;Group1_Map5_Gev;Group1_Map5_BCorr;Group1_Map5_TfBCorr;Group1_Map5_GfpTfBCorr;Group1_Map5_MaxGfp;Group1_Map5_TfMaxGfp;Group1_Map5_MeanGfp;Group1_Map5_MeanDur;Group1_Map5_TimeCov;Group1_Map5_SegDensity
Subject43;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;36;100.394150;-0.302330;0.075099;0.107366;148;0.954994;4.023957;73;1.583083;17.972201;0.439024;0.024390;111;135;25;122.247095;-0.395381;0.008470;-0.223681;135;0.827858;1.086890;111;0.923702;25.000000;0.304878;0.012195;90;110;21;100.668026;0.034931;0.003590;0.266535;106;1.427172;1.487937;103;1.234696;21.000000;0.256098;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject44;86;110;25;96.362068;0.462396;0.015325;0.748334;97;0.763247;0.768480;96;0.582656;25.000000;0.304878;0.012195;73;129;32;98.262822;0.250159;0.013096;0.816862;129;0.893901;1.260980;73;0.730092;15.716234;0.390244;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;130;154;25;142.712320;0.915561;0.192187;0.963052;152;1.472004;1.577132;147;1.385132;25.000000;0.304878;0.012195
Subject45;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;82;116.795837;0.147337;0.033804;0.722341;98;0.534610;1.539867;74;0.987346;82.000000;1.000000;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject46;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;46;114.562336;0.894262;0.148143;0.931759;87;0.884715;1.300029;154;0.985769;10.440087;0.560976;0.048780;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;93;145;36;118.203277;0.911977;0.161121;0.934521;100;1.186198;1.299685;132;1.155519;10.079368;0.439024;0.036585
Subject47;88;154;67;119.380986;0.005220;0.012343;0.528509;154;0.942512;1.430201;112;1.142647;67.000000;0.817073;0.012195;73;87;15;79.224022;-0.215147;0.007428;-0.027171;87;1.158805;2.206410;73;1.718087;15.000000;0.182927;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject48;81;124;44;100.908295;0.856217;0.205886;0.960604;93;1.457757;1.792611;100;1.295471;44.000000;0.536585;0.012195;73;154;38;128.362361;0.812964;0.105138;0.903243;154;1.227997;1.282065;149;1.079292;15.491933;0.463415;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject49;81;85;5;83.110428;0.287794;0.001212;0.554649;85;0.719894;0.719894;85;0.643640;5.000000;0.060976;0.012195;73;154;19;119.848741;0.003546;0.000543;0.121033;144;0.695516;0.957835;154;0.725508;9.380832;0.231707;0.024390;123;143;21;132.232434;0.578961;0.026861;0.832514;125;1.036757;1.110446;123;0.855767;21.000000;0.256098;0.012195;86;122;37;104.388073;0.800430;0.144037;0.860972;94;1.295044;1.387291;97;1.201089;37.000000;0.451220;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject50;101;115;15;107.955800;0.923733;0.069141;0.928110;103;1.146118;1.179603;101;1.118201;15.000000;0.182927;0.012195;73;154;56;122.814352;0.934105;0.253203;0.944474;84;0.828120;1.259164;139;1.079028;25.748786;0.682927;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;90;100;11;95.087941;0.930941;0.053782;0.936743;95;1.156788;1.178088;100;1.142520;11.000000;0.134146;0.012195
Subject51;81;154;66;116.579435;0.560166;0.111183;0.683575;132;1.179028;1.249003;119;0.972112;22.649503;0.804878;0.024390;73;80;8;76.243434;-0.483454;0.009269;-0.405618;73;1.077704;1.110972;74;1.006123;8.000000;0.097561;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;138;145;8;141.490651;0.609018;0.009723;0.656963;145;0.863236;0.886480;138;0.817958;8.000000;0.097561;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject52;103;115;13;109.333652;-0.510465;0.019917;-0.319420;103;0.902061;1.207388;114;1.083897;13.000000;0.158537;0.012195;73;154;42;119.712203;0.225098;0.059149;0.798018;143;1.062413;1.271799;154;0.909647;19.798990;0.512195;0.024390;87;126;17;110.112545;-0.532743;0.022248;-0.188569;92;0.888615;1.156359;116;0.906641;8.124038;0.207317;0.024390;93;102;10;97.532533;-0.123283;0.000637;-0.078493;96;0.936837;0.955911;98;0.930058;10.000000;0.121951;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject53;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;81;94;14;87.515335;0.857117;0.035295;0.879744;93;1.247913;1.349465;94;1.254375;14.000000;0.170732;0.012195;115;154;36;134.171664;0.905983;0.199192;0.946780;115;1.702604;2.183366;140;1.716968;12.449900;0.439024;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;149;32;104.741222;0.900909;0.144162;0.960022;111;1.747035;1.932797;146;1.569888;8.617739;0.390244;0.036585
