Subject;Group3_Map1_FOnset;Group3_Map1_LOffset;Group3_Map1_NumTF;Group3_Map1_TfCentroid;Group3_Map1_MeanCorr;Group3_Map1_Gev;Group3_Map1_BCorr;Group3_Map1_TfBCorr;Group3_Map1_GfpTfBCorr;Group3_Map1_MaxGfp;Group3_Map1_TfMaxGfp;Group3_Map1_MeanGfp;Group3_Map1_MeanDur;Group3_Map1_TimeCov;Group3_Map1_SegDensity;Group3_Map2_FOnset;Group3_Map2_LOffset;Group3_Map2_NumTF;Group3_Map2_TfCentroid;Group3_Map2_MeanCorr;Group3_Map2_Gev;Group3_Map2_BCorr;Group3_Map2_TfBCorr;Group3_Map2_GfpTfBCorr;Group3_Map2_MaxGfp;Group3_Map2_TfMaxGfp;Group3_Map2_MeanGfp;Group3_Map2_MeanDur;Group3_Map2_TimeCov;Group3_Map2_SegDensity;Group3_Map3_FOnset;Group3_Map3_LOffset;Group3_Map3_NumTF;Group3_Map3_TfCentroid;Group3_Map3_MeanCorr;Group3_Map3_Gev;Group3_Map3_BCorr;Group3_Map3_TfBCorr;Group3_Map3_GfpTfBCorr;Group3_Map3_MaxGfp;Group3_Map3_TfMaxGfp;Group3_Map3_MeanGfp;Group3_Map3_MeanDur;Group3_Map3_TimeCov;Group3_Map3_SegDensity;Group3_Map4_FOnset;Group3_Map4_LOffset;Group3_Map4_NumTF;Group3_Map4_TfCentroid;Group3_Map4_MeanCorr;Group3_Map4_Gev;Group3_Map4_BCorr;Group3_Map4_TfBCorr;Group3_Map4_GfpTfBCorr;Group3_Map4_MaxGfp;Group3_Map4_TfMaxGfp;Group3_Map4_MeanGfp;Group3_Map4_MeanDur;Group3_Map4_TimeCov;Group3_Map4_SegDensity;Group3_Map5_FOnset;Group3_Map5_LOffset;Group3_Map5_NumTF;Group3_Map5_TfCentroid;Group3_Map5_MeanCorr;Group3_Map5_Gev;Group3_Map5_BCorr;Group3_Map5_TfBCorr;Group3_Map5_GfpTfBCorr;Group3_Map5_MaxGfp;Group3_Map5_TfMaxGfp;Group3_Map5_MeanGfp;Group3_Map5_MeanDur;Group3_Map5_TimeCov;Group3_Map5_SegDensity
Subject11;77;130;40;101.034842;0.914205;0.117275;0.976047;104;1.045082;1.054625;105;0.883255;17.860571;0.487805;0.024390;73;154;28;133.283415;0.914434;0.062133;0.952471;73;0.737534;0.824134;149;0.779935;9.797959;0.341463;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;106;119;14;112.366259;0.967172;0.065395;0.978589;110;1.118311;1.118311;110;1.068039;14.000000;0.170732;0.012195
Subject12;73;133;30;111.110996;0.349113;0.047064;0.878615;111;1.362602;1.362602;111;1.025152;12.688578;0.365854;0.024390;80;154;35;118.623668;-0.206737;0.014086;0.449921;134;0.602414;1.267748;86;0.978606;17.146428;0.426829;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;94;110;17;102.965484;0.835485;0.107273;0.941722;103;1.881278;1.923679;104;1.514200;17.000000;0.207317;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject13;73;142;24;116.078116;0.162866;0.018207;0.733263;128;1.417784;1.417784;128;0.992890;11.618950;0.292683;0.024390;143;154;12;148.592041;0.213696;0.002090;0.336847;144;0.980959;1.057187;152;1.011535;12.000000;0.146341;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;82;127;46;106.434324;0.716239;0.153111;0.879590;123;1.767695;1.876566;125;1.279253;46.000000;0.560976;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject14;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;66;119.239954;0.734266;0.127022;0.917592;89;0.926051;1.310806;108;0.909132;29.883106;0.804878;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;92;107;16;99.775212;0.910878;0.084901;0.936686;97;1.276769;1.408331;102;1.303683;16.000000;0.195122;0.012195
Subject15;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;120;154;35;139.131389;-0.070767;0.008758;0.698008;120;0.642200;1.026919;154;0.761404;35.000000;0.426829;0.012195;73;119;24;93.843514;0.868400;0.072115;0.914650;111;1.115440;1.115440;111;0.941726;11.618950;0.292683;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;88;110;23;99.512574;0.911173;0.088028;0.957085;100;1.050379;1.186942;107;1.016730;23.000000;0.280488;0.012195
Subject16;73;78;6;75.559833;0.891158;0.014278;0.911802;73;1.237853;1.388871;78;1.329434;6.000000;0.073171;0.012195;146;154;9;149.868406;0.920962;0.012447;0.929247;150;0.957451;1.072558;146;0.978318;9.000000;0.109756;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;79;114;31;97.880941;0.926372;0.143178;0.972139;114;1.881469;1.999902;107;1.754386;15.427249;0.378049;0.024390;93;145;36;123.172520;0.952136;0.125536;0.975237;117;1.793785;1.841937;115;1.482700;12.449900;0.439024;0.024390
Subject17;73;154;82;113.426827;0.947128;0.371519;0.971923;137;1.092651;1.387630;101;1.107399;82.000000;1.000000;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject18;83;154;20;139.960214;0.884544;0.051555;0.972710;140;2.470523;2.564735;139;1.786789;8.000000;0.243902;0.024390;87;100;14;94.464576;0.853979;0.011797;0.909146;94;1.190357;1.590619;100;1.109722;14.000000;0.170732;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;138;19;112.525677;0.851735;0.069453;0.967991;138;2.670532;2.952332;133;2.186471;9.486833;0.231707;0.024390;101;129;29;116.001874;0.972037;0.125313;0.988385;120;2.459419;2.838358;129;2.316512;29.000000;0.353659;0.012195
Subject19;140;147;8;143.004063;0.310051;0.001496;0.775269;140;1.152052;1.152052;140;0.854434;8.000000;0.097561;0.012195;73;95;23;82.045678;-0.067273;0.011642;0.590914;95;1.278960;4.309518;79;2.830057;23.000000;0.280488;0.012195;96;118;23;108.299560;0.874459;0.072807;0.953846;110;2.850673;2.850673;110;2.108327;23.000000;0.280488;0.012195;119;154;28;133.135511;0.712924;0.038641;0.846395;129;2.174255;2.689771;132;1.546748;12.124356;0.341463;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject20;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;35;105.127041;0.453996;0.038082;0.857277;147;1.366868;1.695887;154;1.294529;15.297059;0.426829;0.024390;99;110;12;104.116586;0.858469;0.041100;0.934942;107;1.621273;1.949691;103;1.701895;12.000000;0.146341;0.012195;120;126;7;122.955136;0.937543;0.034604;0.955282;125;1.822227;1.967494;122;1.884048;7.000000;0.085366;0.012195;111;145;28;129.968109;0.830717;0.066627;0.948660;127;1.713351;1.715273;119;1.410806;13.076697;0.341463;0.024390
Subject21;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;91;19;82.977541;0.288033;0.002416;0.600287;73;1.123963;2.054885;91;1.707139;19.000000;0.231707;0.012195;92;99;8;95.888264;0.888037;0.029918;0.953148;99;3.717175;3.717175;99;3.039870;8.000000;0.097561;0.012195;100;149;50;123.651941;0.963287;0.282399;0.979948;136;3.507365;4.101608;116;3.584653;50.000000;0.609756;0.012195;150;154;5;151.956615;0.928142;0.014087;0.942345;150;2.775973;2.775973;150;2.635978;5.000000;0.060976;0.012195
Subject22;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;94;22;82.756142;-0.047883;0.007676;0.806823;93;1.334429;2.249680;80;1.611610;22.000000;0.268293;0.012195;95;129;35;113.656167;0.935949;0.141477;0.966524;122;3.334167;3.350548;121;2.795386;35.000000;0.426829;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;130;154;25;142.593106;0.922214;0.159882;0.950088;131;3.101724;4.072054;150;3.660416;25.000000;0.304878;0.012195
Subject23;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;93;21;82.955615;-0.523751;0.035786;-0.233642;93;1.593151;4.283396;82;3.066959;21.000000;0.256098;0.012195;94;120;27;108.491399;0.815025;0.064227;0.972437;110;2.722946;2.787183;112;2.249652;27.000000;0.329268;0.012195;121;154;34;134.439918;0.886358;0.108860;0.952140;134;3.442896;3.772292;130;2.517532;34.000000;0.414634;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject24;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;79;92;14;85.303092;-0.082704;0.001787;0.359197;92;0.657044;0.964041;86;0.829296;14.000000;0.170732;0.012195;73;103;17;91.437678;0.818827;0.050758;0.958603;103;1.589363;1.611163;102;1.206187;8.124038;0.207317;0.024390;104;150;47;126.354522;0.929158;0.147947;0.967062;148;1.277889;1.536725;104;1.175499;47.000000;0.573171;0.012195;151;154;4;152.492041;0.932331;0.011367;0.942325;151;1.159579;1.159579;151;1.134534;4.000000;0.048780;0.012195
Subject25;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;82;10;77.523061;-0.098022;0.000435;0.177953;73;1.302110;1.337718;79;1.311468;10.000000;0.121951;0.012195;83;154;32;106.843674;0.680519;0.070756;0.961529;108;3.064277;3.064277;108;1.976695;12.489996;0.390244;0.024390;109;148;40;126.933911;0.916347;0.149576;0.976791;113;2.921712;3.088988;109;2.363352;40.000000;0.487805;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject26;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;120;33;103.919975;0.857070;0.090974;0.970966;120;3.071180;3.263356;109;2.611338;15.165751;0.402439;0.024390;83;148;43;125.237745;0.884612;0.157496;0.979139;144;3.676083;4.051634;138;2.975884;20.493902;0.524390;0.024390;149;154;6;151.440506;0.964094;0.024644;0.966353;150;3.362602;3.432039;149;3.265829;6.000000;0.073171;0.012195
Subject27;121;131;11;126.358498;0.668293;0.015883;0.747065;131;1.303891;1.303891;131;1.084452;11.000000;0.134146;0.012195;73;154;46;110.160972;0.341825;0.022702;0.688345;99;1.479157;1.479157;99;1.027017;22.649503;0.560976;0.024390;100;112;13;105.774828;0.839376;0.066997;0.895353;109;1.620988;1.837197;105;1.655457;13.000000;0.158537;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;113;135;12;123.223146;0.746709;0.021638;0.848394;113;1.169502;1.342217;133;1.088216;5.656854;0.146341;0.024390
Subject28;128;143;16;135.156922;0.919179;0.038187;0.957355;138;1.597178;1.765226;128;1.606480;16.000000;0.195122;0.012195;73;154;24;110.930268;0.345532;0.008452;0.919546;145;1.075783;1.179762;144;0.936702;11.958261;0.292683;0.024390;86;113;28;102.096881;0.853185;0.128281;0.966137;105;2.733674;2.808747;108;2.053393;28.000000;0.341463;0.012195;114;127;14;119.992831;0.924174;0.047198;0.969891;117;2.064088;2.488749;114;1.856924;14.000000;0.170732;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject29;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;92;20;83.385428;-0.659068;0.030501;-0.179405;73;1.197723;3.108272;84;2.203975;20.000000;0.243902;0.012195;93;123;31;109.271667;0.752087;0.056177;0.900284;116;2.233082;2.357372;104;1.995687;31.000000;0.378049;0.012195;124;142;19;133.518908;0.790384;0.048212;0.835912;124;2.082201;2.979144;137;2.633915;19.000000;0.231707;0.012195;143;154;12;148.155215;0.785118;0.021688;0.794048;148;2.220257;2.629235;143;2.227288;12.000000;0.146341;0.012195
Subject30;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;96;24;85.109085;-0.366792;0.007636;0.388143;96;1.434420;1.896005;91;1.538656;24.000000;0.292683;0.012195;97;154;21;132.044328;0.883267;0.055608;0.952563;143;2.749360;2.749360;143;2.223989;6.214465;0.256098;0.036585;101;142;37;124.097857;0.948358;0.227667;0.976694;134;4.134249;4.172977;132;3.181579;17.320508;0.451220;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject31;145;150;6;147.335877;0.688826;0.005818;0.801862;145;1.361038;1.361038;145;1.174495;6.000000;0.073171;0.012195;79;154;30;97.827267;0.194494;0.002879;0.525526;151;0.987662;1.355056;88;1.067947;10.198039;0.365854;0.024390;73;117;19;102.332016;0.649764;0.045150;0.957986;115;2.138799;2.139265;116;1.561952;8.831761;0.231707;0.024390;118;144;27;131.086293;0.885569;0.092187;0.940650;139;2.034697;2.072180;138;1.738235;27.000000;0.329268;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject32;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;120;32;99.884794;0.123598;0.026183;0.918922;118;3.747425;4.001230;115;1.595764;12.489996;0.390244;0.024390;99;154;50;129.382145;0.924293;0.252040;0.965812;146;4.817732;4.904330;143;4.082396;23.323808;0.609756;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject33;123;148;12;133.872896;0.661911;0.020764;0.835189;128;1.226974;1.261364;129;1.023686;5.916080;0.146341;0.024390;73;154;40;94.007923;-0.015683;0.023006;0.368650;154;0.997560;2.001238;80;1.261104;14.282857;0.487805;0.024390;107;122;16;114.510821;0.439522;0.005670;0.580366;122;0.797530;0.797530;122;0.715307;16.000000;0.195122;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;130;143;14;136.077508;0.714408;0.028218;0.823891;130;1.262232;1.262232;130;1.071624;14.000000;0.170732;0.012195
Subject34;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;100;28;85.544577;-0.239133;0.011460;0.765732;100;2.034297;2.102186;78;1.758252;28.000000;0.341463;0.012195;101;154;30;137.136079;0.915291;0.167534;0.961165;153;4.720751;4.759367;152;3.817419;13.266499;0.365854;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;109;132;24;121.131535;0.933799;0.097871;0.952575;127;3.635392;3.770412;130;3.322615;24.000000;0.292683;0.012195
Subject35;82;87;6;84.480013;0.536550;0.002758;0.583754;82;1.450707;1.450707;82;1.387982;6.000000;0.073171;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;143;52;108.639805;0.898906;0.292016;0.978010;137;2.925980;3.713633;103;2.720871;15.844855;0.634146;0.036585;114;154;24;133.564425;0.938249;0.100196;0.959516;149;2.551859;3.134677;114;2.364572;11.958261;0.292683;0.024390
Subject36;73;79;7;76.119325;0.290325;0.000712;0.628493;79;0.632793;0.632793;79;0.545547;7.000000;0.085366;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;80;154;75;118.549298;0.927734;0.260680;0.965744;127;1.896750;1.899560;124;1.523855;75.000000;0.914634;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
