Subject;Group3_Map1_FOnset;Group3_Map1_LOffset;Group3_Map1_NumTF;Group3_Map1_TfCentroid;Group3_Map1_MeanCorr;Group3_Map1_Gev;Group3_Map1_BCorr;Group3_Map1_TfBCorr;Group3_Map1_GfpTfBCorr;Group3_Map1_MaxGfp;Group3_Map1_TfMaxGfp;Group3_Map1_MeanGfp;Group3_Map1_MeanDur;Group3_Map1_TimeCov;Group3_Map1_SegDensity;Group3_Map2_FOnset;Group3_Map2_LOffset;Group3_Map2_NumTF;Group3_Map2_TfCentroid;Group3_Map2_MeanCorr;Group3_Map2_Gev;Group3_Map2_BCorr;Group3_Map2_TfBCorr;Group3_Map2_GfpTfBCorr;Group3_Map2_MaxGfp;Group3_Map2_TfMaxGfp;Group3_Map2_MeanGfp;Group3_Map2_MeanDur;Group3_Map2_TimeCov;Group3_Map2_SegDensity;Group3_Map3_FOnset;Group3_Map3_LOffset;Group3_Map3_NumTF;Group3_Map3_TfCentroid;Group3_Map3_MeanCorr;Group3_Map3_Gev;Group3_Map3_BCorr;Group3_Map3_TfBCorr;Group3_Map3_GfpTfBCorr;Group3_Map3_MaxGfp;Group3_Map3_TfMaxGfp;Group3_Map3_MeanGfp;Group3_Map3_MeanDur;Group3_Map3_TimeCov;Group3_Map3_SegDensity;Group3_Map4_FOnset;Group3_Map4_LOffset;Group3_Map4_NumTF;Group3_Map4_TfCentroid;Group3_Map4_MeanCorr;Group3_Map4_Gev;Group3_Map4_BCorr;Group3_Map4_TfBCorr;Group3_Map4_GfpTfBCorr;Group3_Map4_MaxGfp;Group3_Map4_TfMaxGfp;Group3_Map4_MeanGfp;Group3_Map4_MeanDur;Group3_Map4_TimeCov;Group3_Map4_SegDensity;Group3_Map5_FOnset;Group3_Map5_LOffset;Group3_Map5_NumTF;Group3_Map5_TfCentroid;Group3_Map5_MeanCorr;Group3_Map5_Gev;Group3_Map5_BCorr;Group3_Map5_TfBCorr;Group3_Map5_GfpTfBCorr;Group3_Map5_MaxGfp;Group3_Map5_TfMaxGfp;Group3_Map5_MeanGfp;Group3_Map5_MeanDur;Group3_Map5_TimeCov;Group3_Map5_SegDensity
Subject1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;89;93;5;90.997055;0.173231;0.000403;0.231477;93;1.628009;1.703072;91;1.668297;5.000000;0.060976;0.012195;73;105;28;91.733263;0.428113;0.027078;0.929785;105;2.419189;2.419189;105;1.464286;13.856406;0.341463;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;106;154;49;128.702183;0.913531;0.163703;0.951872;116;2.245735;2.663502;107;2.094573;49.000000;0.597561;0.012195
Subject2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;82;111.092243;-0.121838;0.026710;0.328650;120;1.021501;1.984179;84;1.333732;82.000000;1.000000;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;86;93;8;89.328052;0.131186;0.000107;0.228670;93;0.752553;0.942712;86;0.861397;8.000000;0.097561;0.012195;73;143;52;111.958545;0.733110;0.131910;0.935652;143;1.960880;2.845843;121;1.777942;12.209291;0.634146;0.036585;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;129;154;22;141.376787;0.926020;0.087477;0.971459;154;2.164810;2.351275;129;2.252977;11.000000;0.268293;0.024390
Subject4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;39;114.553797;0.833243;0.046281;0.907673;78;0.994372;1.019372;81;0.870979;19.183326;0.475610;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;89;131;43;109.356971;0.948128;0.179791;0.974254;104;1.731660;1.732850;105;1.421926;43.000000;0.524390;0.012195
Subject5;73;131;20;111.875427;0.691397;0.028952;0.926609;131;2.607856;2.607856;131;1.639838;9.949874;0.243902;0.024390;84;154;20;128.623462;0.670870;0.021801;0.924427;147;2.177892;2.177892;147;1.559011;10.000000;0.243902;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;94;144;42;116.178485;0.918148;0.166532;0.943660;137;2.600121;3.535325;104;2.825501;19.416488;0.512195;0.024390
Subject6;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;144;57;109.318822;0.960207;0.226934;0.979159;124;1.813286;2.227723;110;1.732089;27.202941;0.695122;0.024390;93;154;25;111.278454;0.949870;0.089928;0.978033;103;1.993332;2.128106;107;1.584691;12.247449;0.304878;0.024390
Subject7;134;144;11;138.026495;0.817778;0.027830;0.918654;134;1.758680;1.758680;134;1.125951;11.000000;0.134146;0.012195;73;150;15;105.783696;0.159776;0.008214;0.825666;150;1.053717;1.053717;150;0.832973;7.348469;0.182927;0.024390;82;92;11;87.782233;0.517612;0.018381;0.836948;89;1.300750;1.489340;92;1.083045;11.000000;0.134146;0.012195;122;133;12;127.829513;0.925161;0.078201;0.939526;130;1.977251;1.982021;131;1.750303;12.000000;0.146341;0.012195;93;154;33;112.170551;0.798052;0.155334;0.969206;116;2.094451;2.135321;115;1.549761;10.770330;0.402439;0.024390
Subject8;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;91;110;20;100.996133;0.975825;0.085271;0.979118;97;2.297798;2.604387;104;2.303793;20.000000;0.243902;0.012195;73;154;62;123.108052;0.963963;0.204264;0.989225;125;2.502694;2.565661;128;1.979270;28.142495;0.756098;0.024390
Subject9;80;154;19;120.692654;0.878102;0.022088;0.950526;148;1.005565;1.195287;146;0.799698;6.000000;0.231707;0.036585;73;79;7;76.087085;0.549496;0.001141;0.718505;79;0.545275;0.545275;79;0.479493;7.000000;0.085366;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;84;145;56;118.887119;0.955324;0.242692;0.978336;107;1.646433;1.735758;115;1.439249;17.320508;0.682927;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject10;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;116;154;29;135.293705;0.688521;0.031283;0.812745;140;1.192331;1.235736;129;1.067395;14.491377;0.353659;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;108;36;92.167454;0.773471;0.124843;0.960701;106;2.292746;2.328040;107;1.544512;36.000000;0.439024;0.012195;109;139;17;123.604949;0.863326;0.059319;0.954847;109;2.231706;2.231706;109;1.494484;8.366600;0.207317;0.024390
