Subject;Group;Map;FOnset;LOffset;NumTF;TfCentroid;MeanCorr;Gev;BCorr;TfBCorr;GfpTfBCorr;MaxGfp;TfMaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject9;Group2;Map1;80;154;22;111.510084;0.886474;0.027748;0.938943;97;1.006829;1.102946;84;0.804750;7.047299;0.268293;0.036585
Subject9;Group2;Map2;73;79;7;76.097943;0.728711;0.002750;0.823183;79;0.653100;0.653100;79;0.575886;7.000000;0.085366;0.012195
Subject9;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject9;Group2;Map4;85;144;40;122.416721;0.959778;0.181018;0.975386;113;1.691934;1.754889;118;1.479595;14.282857;0.487805;0.024390
Subject9;Group2;Map5;98;110;13;104.379540;0.965986;0.058636;0.973197;109;1.654934;1.696103;110;1.480899;13.000000;0.158537;0.012195
Subject10;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject10;Group2;Map2;119;154;21;139.569773;0.768977;0.042594;0.876364;123;1.588857;1.588857;123;1.305775;8.944272;0.256098;0.024390
Subject10;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject10;Group2;Map4;73;110;38;93.586035;0.823045;0.178906;0.956430;102;2.534526;2.548769;101;1.727231;38.000000;0.463415;0.012195
Subject10;Group2;Map5;111;138;23;125.735976;0.876161;0.082357;0.907699;133;1.642888;1.771030;128;1.539455;10.954451;0.280488;0.024390
Subject11;Group2;Map1;80;138;45;108.125027;0.920535;0.148761;0.971424;103;1.130351;1.143121;104;0.934373;22.360680;0.548780;0.024390
Subject11;Group2;Map2;73;154;23;122.922893;0.925557;0.054408;0.956482;73;0.871659;0.872643;74;0.793011;10.583005;0.280488;0.024390
