Time	Factor 1	Group main effect	Factor 1 * Group
143.00	0.13200000	0.00200000	0.01680000
144.00	0.11900000	0.00320000	0.01440000
145.00	0.09060000	0.00460000	0.01000000
146.00	0.07840000	0.00600000	0.00520000
147.00	0.08200000	0.00760000	0.00200000
148.00	0.11020000	0.01060000	0.00160000
149.00	0.11980000	0.01240000	0.00100000
150.00	0.10400000	0.01360000	0.00100000
151.00	0.07760000	0.01380000	0.00120000
152.00	0.05120000	0.01480000	0.00100000
153.00	0.03860000	0.01620000	0.00060000
154.00	0.03320000	0.01560000	0.00100000
